time=2026-08-12T12:07:18.947+07:00 level=INFO msg="Connected to PostgreSQL"
time=2026-08-12T12:07:19.064+07:00 level=INFO msg="All migrations applied" total=202
time=2026-08-12T12:07:19.078+07:00 level=INFO msg="Migrations applied"
time=2026-08-12T12:07:20.770+07:00 level=WARN msg="Redis connect failed, running without cache" error="dial tcp [::1]:6379: connectex: No connection could be made because the target machine actively refused it."
time=2026-08-12T12:07:20.770+07:00 level=INFO msg="MinIO client initialized" bucket=media endpoint=https://cjrhqywtwlmebthajrkx.supabase.co/storage/v1
time=2026-08-12T12:07:20.771+07:00 level=INFO msg="Server starting" addr=0.0.0.0:8080

 ┌───────────────────────────────────────────────────┐ 
 │                 YakinLulus.id API                 │ 
 │                  Fiber v2.52.14                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ........... 803  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 15284 │ 
 └───────────────────────────────────────────────────┘ 

time=2026-08-12T12:07:23.388+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=168.152ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:07:23.452+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=62.07ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:07:35.386+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=84.2474ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:07:35.529+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=60.9374ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:07:40.803+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/40b80832-c6a2-4556-ab9c-2581132747d1/start status=404 duration=637.3729ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:07:57.491+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/40b80832-c6a2-4556-ab9c-2581132747d1/start status=404 duration=55.6742ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.971+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/target status=200 duration=3.8687ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.971+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/weekly-exam status=200 duration=6.121ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.973+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/subject-mastery status=200 duration=969.3µs ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.975+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/subject-progress status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.978+07:00 level=INFO msg=HTTP method=GET path=/api/v1/config/student-dashboard status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.980+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/streak status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.982+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/target status=200 duration=1.1799ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.982+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/weekly-exam status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.986+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/subject-mastery status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.986+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/subject-progress status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.988+07:00 level=INFO msg=HTTP method=GET path=/api/v1/config/student-dashboard status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:00.989+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student/streak status=200 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:08:01.851+07:00 level=INFO msg=HTTP method=GET path=/api/v1/dashboard/student status=200 duration=886.1142ms ip=127.0.0.1 request_id=""
